Case No.,IOC English name,Scientific name,Location,State/Territory,Sighting Date,Submission,Decision,Acceptance tally
927,Brown Thornbill,Acanthiza pusilla archibaldi,King Island,TAS,1/4/2016,,Accepted,1
344,Brown-backed Needletail ,Hirundapus giganteus ,Chistmas Island,IOT,11/14/2001,,Not Accepted,x
385,Brown-backed or Silver-backed Needle,Hirundapus sp.,Chistmas Island,IOT,2/11/2002,,Accepted,x
619,Brown-headed Gull,Larus brunnicephalus,200 km N of Broome ,WA,11/4/2009,,Not Accepted,x
1094,Buff-breasted Button-quail,Turnix olivii,Mareeba,QLD,4/5/1995,Submission,Not Accepted,x
1148,Buff-breasted Button-quail,Turnix olivii,Mareeba,QLD,1/15/1994,Submission,Not Accepted,x
1203,Buff-breasted Buttonquail,Turnix olivii,Iron Range,QLD,10-18-Nov-1982,,Withdrawn,x
61,Buff-breasted Sandpiper,Calidris subruficollis ,Richmond,NSW,Dec 82 to Jan 83,,Accepted,1
97,Buff-breasted Sandpiper,Calidris subruficollis ,Kooragang Island,NSW,3/10/1979,,Accepted,2
128,Buff-breasted Sandpiper,Calidris subruficollis ,Barilla Bay,TAS,1/26/1988,,Accepted,3
139,Buff-breasted Sandpiper,Calidris subruficollis ,Lord Howe Island,NSW,4/6/1992,,Not Accepted,x
159,Buff-breasted Sandpiper,Calidris subruficollis ,Lake Bathurst,NSW,1/8/1993,,Accepted,4
366,Buff-breasted Sandpiper,Calidris subruficollis ,Bushells Lagoon ,NSW,12/14/2002,,Accepted,5
382,Buff-breasted Sandpiper,Calidris subruficollis ,Lake Wollumboola ,NSW,3/26/1999,,Accepted,6
386,Buff-breasted Sandpiper,Calidris subruficollis ,Port Macdonnell ,SA,4/5/2003,,Not Accepted,x
416,Buff-breasted Sandpiper,Calidris subruficollis ,"Ash Island, Newcastle ",NSW,2/14/2004,,Accepted,7
435,Buff-breasted Sandpiper,Calidris subruficollis ,"ICI Saltfields, Adelaide ",SA,2/21/1986,,Accepted,8
808,Buff-breasted Sandpiper,Calidris subruficollis ,Hexam Swamp,NSW,1/18/2014,,Accepted,9
988,Buff-breasted Sandpiper,Calidris subruficollis ,Lake Murdeduke,VIC,13-Jan-17 to 17 March 17,,Accepted,10
1019,Buff-breasted Sandpiper,Calidris subruficollis ,Seaford Swamp,VIC,4/1/1984,Submission,Accepted,11
