ORAC Case,BARC Case,IOC English name,Scientific name,Location,Date,Decision
235,,Great Frigatebird,Fregata minor,South Ballina  ,5 May 1996,Accepted
236,,Long-toed Stint,Calidris subminuta,Pitt Town Lagoon,18 Oct 1996,Accepted
237,,Mottled Petrel,Pterodroma inexpectata,off Sydney,3 Nov 1996,Accepted
238,,Black Petrel,Procellaria parkinsoni,off Sydney,3 Nov 1996,Accepted
239,,Brown Booby,Sula leucogaster,off Ballina,11 Apr 1993,Accepted
240,,Grey Ternlet,Procelsterna albivitta,off Wollongong,26 Jan 1997,Accepted
241,,Oriental Pratincole,Glareola maldivarum,Pitt Town Lagoon,28 Nov 1996,Accepted
242,,Eastern Yellow Wagtail,Motacilla tschutschensis,Lower Hunter Estuary,7 Jan 1998,Accepted
243,,Common Tern (nominate),Sterna hirundo hirundo,South Ballina  ,14 Apr 1997,Accepted
244,,Red Goshawk,Erythrotriorchis radiatus,Alstonville ,24 Nov 1991,Not accepted
245,,Black-winged Petrel,Pterodroma nigripennis,off Sydney,14 Dec 1996,Accepted
246,,Grey Ternlet,Procelsterna albivitta,off Sydney,18 Jan 1997,Accepted
247,,Black-winged Petrel,Pterodroma nigripennis,off Sydney,18 Jan 1997,Accepted
248,,Tahiti Petrel,Pseudobulweria rostrata,off Sydney,18 Jan 1997,Accepted
249,,Mottled Petrel,Pterodroma inexpectata,off Wollongong,27 Oct 1996,Accepted
250,,Soft-plumaged Petrel,Pterodroma mollis,off Wollongong,27 Oct 1996,Accepted
251,245,White Wagtail,Motacilla alba lugens,Glendale ,4 Apr 1998,Accepted
252,,Masked Booby,Sula dactylatra,"Boat Harbour, Kurnell",12 Jul 1998,Not accepted
253,,Shining Flycatcher,Myiagra alecto,Cobaki Broadwater ,29 Jun 1998,Accepted
255,,Northern Royal Albatross,Diomedea (e.) sanfordi,Norah Head ,8 Jul 1998,Accepted
256,,Australian Swiftlet,Aerodramus terraereginae,East Ballina Lighthouse,3 Feb 1990,Not Confirmed (not assessed)
257,,Australian Swiftlet,Aerodramus terraereginae,Avalon,26 Jan 1998,Accepted
258,,Royal Albatross,Diomedea epomophora (sensu lato),Maroubra ,2 Jul 1998,Not accepted
259,,Common Diving Petrel,Pelecanoides urinatrix,Maroubra ,26 Aug 1998,Not reviewed
260,,Grey-headed Albatross,Thalassarche chrysostoma,off Sydney,29 Aug 1998,Accepted
270,,Red-footed Booby,Sula sula,Warnervale,23 Jun 1998,Accepted
271,,Southern Fulmar,Fulmarus glacialoides,Maroubra ,20 Nov 1998,Accepted
